5.0 27722944 200 138614.7 137888.0 42688 235680 95691.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26543744 200 132718.7 83440.0 25696 234720 93927.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26667872 200 133339.4 88000.0 26752 235840 94060.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27755904 200 138779.5 139408.0 43168 235488 95376.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27772768 200 138863.8 138032.0 43168 236416 95447.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27761248 200 138806.2 137920.0 43200 235520 95357.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27727744 200 138638.7 138288.0 42784 236096 95577.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25292576 200 126462.9 84992.0 26464 235808 91666.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27712672 200 138563.4 138160.0 42624 235776 95675.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.3 19822848 200 99114.2 80848.0 21632 235392 78274.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.1 27770656 200 138853.3 139152.0 43168 235488 95383.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27785600 200 138928.0 139088.0 43296 235232 95350.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27741888 200 138709.4 138256.0 43200 235200 95204.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 26979264 200 134896.3 134480.0 39040 231456 95536.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27738944 200 138694.7 138128.0 42752 236128 95601.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27768192 200 138841.0 138560.0 43072 235680 95278.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27775424 200 138877.1 139152.0 43168 235712 95335.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.8 14886400 200 74432.0 79200.0 21632 231072 52949.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27097920 200 135489.6 83248.0 26048 236128 94783.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.8 16107424 200 80537.1 79824.0 21760 230688 60905.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27763424 200 138817.1 138192.0 43200 235584 95412.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
